record_id,employee_id,task_id,task_type,task_priority,required_skills,experience_years,skill_match_score,employee_workload_percent,employee_availability,employee_performance_score,employee_location,task_location,distance_km,similar_tasks_completed,similar_tasks_success_rate,estimated_effort_hours,sla_hours,remaining_sla_hours,workload_capacity,availability_score,location_compatibility,experience_performance_score,sla_urgency_ratio,workload_effort_ratio,actual_completion_hours,sla_met,task_success
H001023,E0051,T01862,Cybersecurity,High,AWS|Cybersecurity,7,0.0,54,1,7.46,Kolkata,Hyderabad,577.0,44,0.764,6.7,18.2,9.38,46,1,0.423,52.22,1.3998,8.0597,11.73,0,0
H001024,E0241,T00444,Database,High,Python|PostgreSQL,2,1.0,54,1,8.0,Bangalore,Delhi,809.6,13,0.7504,3.1,7.7,7.26,46,1,0.1904,16.0,2.3423,17.4194,3.14,1,1
H001025,E0078,T00626,Software Development,Low,C++,1,0.0,71,1,7.62,Delhi,Coimbatore,106.2,37,0.7584,8.7,26.5,13.86,29,1,0.8938,7.62,1.5925,8.1609,17.84,0,1
H001026,E0300,T04670,Testing,Medium,Selenium,12,1.0,57,1,8.59,Mumbai,Mumbai,0.0,13,0.8846,3.0,12.0,4.65,43,1,1.0,103.08,1.5495,19.0,2.81,1,1
H001027,E0043,T04976,Machine Learning,Low,Machine Learning,11,0.0,67,1,8.98,Hyderabad,Remote,0.0,27,0.8968,7.3,51.2,18.65,33,1,1.0,98.78,2.5551,9.1781,11.71,1,1
H001028,E0289,T03335,Machine Learning,Medium,Machine Learning|PyTorch|SQL,1,0.3333,37,1,9.23,Delhi,Bangalore,627.8,40,0.759,2.3,12.0,5.34,63,1,0.3722,9.23,2.3196,16.087,2.87,1,1
H001029,E0266,T03455,Cloud/DevOps,High,Kubernetes|Linux,5,1.0,27,1,6.83,Pune,Pune,0.0,15,0.7409,8.3,18.9,17.47,73,1,1.0,34.15,2.1047,3.253,6.97,1,1
H001030,E0232,T03982,Cloud/DevOps,Medium,Python,6,0.0,63,1,8.79,Hyderabad,Pune,512.2,32,0.7823,5.3,17.8,6.75,37,1,0.4878,52.74,1.2727,11.8868,7.96,0,1
H001031,E0027,T01462,Database,Medium,Java|MongoDB,11,0.5,22,1,8.0,Kolkata,Pune,236.9,10,0.9164,3.4,16.9,18.56,78,1,0.7631,88.0,5.4578,6.4706,3.94,0,0
H001032,E0140,T04213,Database,Medium,Python,7,0.0,33,1,8.29,Kolkata,Pune,622.2,37,0.7702,6.2,20.2,10.07,67,1,0.3778,58.03,1.6245,5.3226,9.72,1,1
H001033,E0021,T03970,Testing,High,Python|SQL,1,0.5,9,1,7.66,Hyderabad,Kolkata,836.5,9,0.7606,7.0,11.5,9.13,91,1,0.1635,7.66,1.3037,1.2857,9.97,0,1
H001034,E0238,T03170,Support,Medium,AWS|Python|Azure,8,0.3333,30,1,7.24,Delhi,Bangalore,663.6,13,0.7275,7.0,33.5,33.83,70,1,0.3364,57.92,4.833,4.2857,7.99,1,1
H001035,E0172,T03209,Database,Medium,MongoDB|Java|Python,7,0.6667,22,1,8.47,Mumbai,Kolkata,331.4,43,0.6745,3.1,12.0,6.82,78,1,0.6686,59.29,2.2007,7.0968,3.63,1,1
H001036,E0130,T02789,Machine Learning,Critical,SQL,12,0.0,20,0,7.3,Chennai,Pune,220.6,29,0.7764,13.9,18.1,14.54,80,0,0.7794,87.6,1.0461,1.4388,37.79,0,0
H001037,E0214,T01557,Bug Fix,Medium,Python|Spring Boot,8,0.0,34,1,9.17,Chennai,Bangalore,586.4,3,0.849,6.6,29.9,32.51,66,1,0.4136,73.36,4.9251,5.1515,8.53,1,1
H001038,E0209,T00712,Support,Medium,SQL|Python,4,0.5,36,0,8.54,Hyderabad,Delhi,273.9,27,0.7762,2.5,12.0,7.93,64,0,0.7261,34.16,3.1737,14.4,5.51,1,1
H001039,E0180,T03856,Testing,Low,Java|SQL|Selenium,3,0.0,73,1,8.46,Mumbai,Bangalore,55.9,7,0.8574,10.0,72.6,79.94,27,1,0.9441,25.38,7.9938,7.3,15.85,1,1
H001040,E0214,T00095,Database,High,MongoDB|Java,8,0.0,34,1,9.17,Chennai,Delhi,452.4,22,0.9404,3.2,8.7,4.25,66,1,0.5476,73.36,1.3292,10.625,4.88,0,1
H001041,E0186,T00188,Cybersecurity,Medium,Python|Azure,11,0.5,16,1,8.4,Hyderabad,Bangalore,259.6,27,0.9566,4.2,18.1,14.07,84,1,0.7404,92.4,3.3496,3.8095,5.23,1,1
H001042,E0203,T00544,Data Engineering,High,Python,8,0.0,21,1,7.24,Chennai,Delhi,255.9,28,0.7771,8.1,24.1,22.86,79,1,0.7441,57.92,2.8217,2.5926,11.53,1,1
H001043,E0110,T03553,Bug Fix,Critical,Node.js|JavaScript,12,0.0,35,1,8.58,Delhi,Chennai,29.9,2,0.9366,4.3,5.7,4.17,65,1,0.9701,102.96,0.9692,8.1395,6.8,0,1
H001044,E0025,T01809,Database,Low,SQL|PostgreSQL|Python,2,0.3333,45,1,7.95,Chennai,Remote,0.0,39,0.6729,5.4,31.1,28.3,55,1,1.0,15.9,5.2403,8.3333,8.54,1,1
H001045,E0225,T02055,Testing,Medium,Python|JavaScript|Selenium,7,0.0,58,1,7.95,Mumbai,Mumbai,0.0,0,0.7068,11.3,54.3,21.34,42,1,1.0,55.65,1.8882,5.1327,16.22,1,1
H001046,E0103,T01693,Bug Fix,Medium,JavaScript,1,0.0,45,1,7.81,Coimbatore,Remote,0.0,18,0.6551,5.3,21.8,22.7,55,1,1.0,7.81,4.2835,8.4906,10.57,1,1
H001047,E0241,T01099,Support,Low,Java|Python,2,0.5,46,0,8.0,Bangalore,Kolkata,600.7,39,0.8039,4.8,36.6,15.64,54,0,0.3993,16.0,3.258,9.5833,13.64,1,1
H001048,E0075,T03205,Data Engineering,Medium,Azure|Python,11,0.5,28,1,8.7,Chennai,Chennai,0.0,43,0.8428,4.3,17.4,6.77,72,1,1.0,95.7,1.5736,6.5116,4.55,1,1
H001049,E0078,T03123,Software Development,Medium,React,1,0.0,74,1,7.62,Delhi,Delhi,0.0,13,0.6977,14.4,59.1,53.91,26,1,1.0,7.62,3.7437,5.1389,30.48,0,0
H001050,E0173,T03848,Cybersecurity,High,AWS|Python|Cybersecurity,5,0.0,37,1,8.68,Coimbatore,Coimbatore,0.0,35,0.791,3.1,6.9,3.97,63,1,1.0,43.4,1.28,11.9355,4.11,0,1
H001051,E0149,T01102,Bug Fix,High,Java|JavaScript|Node.js,6,0.6667,91,1,9.02,Pune,Mumbai,92.8,33,0.7266,4.3,11.0,5.37,9,1,0.9072,54.12,1.2494,21.1628,4.99,1,1
H001052,E0041,T04173,Testing,High,Python,11,0.0,31,1,9.25,Delhi,Remote,0.0,36,0.9655,11.2,30.7,21.51,69,1,1.0,101.75,1.9207,2.7679,16.19,1,1
H001053,E0039,T04122,Machine Learning,Medium,Deep Learning|SQL,10,0.0,59,1,8.28,Hyderabad,Delhi,404.4,41,0.7732,6.4,27.4,25.99,41,1,0.5956,82.8,4.0611,9.2188,8.15,1,1
H001054,E0139,T04307,Software Development,Critical,C++|Python|JavaScript,11,0.0,30,1,7.48,Pune,Bangalore,485.1,8,0.9106,5.0,8.1,5.86,70,1,0.5149,82.28,1.1721,6.0,7.66,0,1
H001055,E0135,T03541,Testing,Low,Python|Selenium|SQL,3,0.0,26,1,8.55,Mumbai,Coimbatore,629.0,34,0.7949,5.6,24.0,16.12,74,1,0.371,25.65,2.8779,4.6429,9.01,0,1
H001056,E0242,T01892,Cloud/DevOps,High,Linux,7,1.0,12,1,7.8,Kolkata,Pune,296.3,7,0.6777,6.9,18.0,10.78,88,1,0.7037,54.6,1.5626,1.7391,6.7,1,1
H001057,E0136,T03730,Bug Fix,Critical,Java|Python|JavaScript,3,0.0,27,1,8.72,Chennai,Mumbai,122.9,44,0.7246,4.4,7.3,2.71,73,1,0.8771,26.16,0.615,6.1364,5.99,0,1
H001058,E0218,T03631,Support,Medium,Java|SQL|Azure,5,0.0,71,1,8.35,Mumbai,Mumbai,0.0,9,0.7159,6.6,18.5,17.19,29,1,1.0,41.75,2.6046,10.7576,10.47,1,1
H001059,E0082,T01798,Support,Medium,Python,4,0.0,83,1,7.94,Coimbatore,Mumbai,587.2,28,0.6551,9.7,28.3,10.36,17,1,0.4128,31.76,1.0684,8.5567,18.92,0,1
H001060,E0173,T04428,Testing,Medium,Java|JavaScript,5,0.0,28,1,8.68,Coimbatore,Chennai,89.5,25,0.8276,8.6,25.5,14.43,72,1,0.9105,43.4,1.6783,3.2558,11.44,1,1
H001061,E0017,T03265,Database,Medium,PostgreSQL|Java,4,1.0,70,1,8.37,Hyderabad,Coimbatore,439.8,28,0.7444,4.5,20.6,11.5,30,1,0.5602,33.48,2.5545,15.5556,5.59,1,1
H001062,E0145,T01229,Support,Low,Linux|Python,5,0.5,30,1,7.26,Bangalore,Chennai,830.5,43,0.7711,4.8,24.0,19.86,70,1,0.1695,36.3,4.1376,6.25,6.12,1,1
H001063,E0236,T03338,Bug Fix,High,Java|Spring Boot|SQL,10,0.6667,53,1,7.84,Delhi,Kolkata,583.5,25,0.801,4.6,12.5,14.09,47,1,0.4165,78.4,3.0638,11.5217,5.27,1,1
H001064,E0290,T01535,Data Engineering,Medium,SQL|AWS|Spark,1,0.3333,25,1,6.33,Kolkata,Bangalore,578.7,12,0.4807,10.9,29.3,19.36,75,1,0.4213,6.33,1.7765,2.2936,18.4,0,0
H001065,E0253,T04765,Machine Learning,High,Python,9,0.0,42,1,8.02,Pune,Remote,0.0,45,0.8644,3.7,9.8,8.76,58,1,1.0,72.18,2.3681,11.3514,5.28,1,1
H001066,E0009,T04095,Testing,High,Python,5,0.0,74,1,8.19,Hyderabad,Pune,498.5,15,0.7169,4.9,14.2,15.72,26,1,0.5015,40.95,3.2088,15.102,8.93,1,1
H001067,E0056,T01551,Machine Learning,Critical,SQL,2,0.0,24,1,7.82,Coimbatore,Hyderabad,252.8,32,0.7065,5.4,7.9,4.88,76,1,0.7472,15.64,0.9033,4.4444,9.56,0,1
H001068,E0194,T02137,Software Development,Low,Java|Spring Boot,7,0.0,85,1,7.88,Hyderabad,Bangalore,257.3,16,0.7611,4.6,35.9,39.16,15,1,0.7427,55.16,8.5141,18.4783,7.67,0,0
H001069,E0092,T01185,Database,Medium,PostgreSQL|MongoDB|SQL,5,0.3333,83,0,7.57,Kolkata,Kolkata,0.0,21,0.7895,5.2,17.8,11.67,17,0,1.0,37.85,2.244,15.9615,20.29,0,0
H001070,E0148,T04103,Bug Fix,Medium,Java|Spring Boot|JavaScript,8,0.0,87,1,9.3,Bangalore,Remote,0.0,0,0.8862,4.8,16.5,15.7,13,1,1.0,74.4,3.2712,18.125,8.65,1,1
H001071,E0147,T01483,Data Engineering,Critical,Python|Spark,6,0.5,17,1,8.26,Bangalore,Remote,0.0,34,0.8896,6.3,11.1,5.88,83,1,1.0,49.56,0.9331,2.6984,8.32,0,1
H001072,E0232,T00771,Machine Learning,Low,TensorFlow|SQL|Python,6,0.3333,64,0,8.79,Hyderabad,Pune,165.7,45,0.8177,8.6,51.1,29.51,36,0,0.8343,52.74,3.431,7.4419,25.91,1,1
H001073,E0237,T01460,Machine Learning,Medium,SQL|PyTorch,9,0.0,47,1,8.18,Mumbai,Hyderabad,150.2,35,0.9075,2.9,12.0,11.71,53,1,0.8498,73.62,4.0385,16.2069,4.46,1,1
H001074,E0163,T04028,Cloud/DevOps,High,Azure,6,0.0,87,1,8.69,Coimbatore,Pune,758.3,14,0.7319,15.7,43.1,36.72,13,1,0.2417,52.14,2.3386,5.5414,25.52,0,0
H001075,E0078,T00098,Support,High,Java,1,0.0,71,1,7.62,Delhi,Remote,0.0,20,0.7078,8.6,24.4,20.9,29,1,1.0,7.62,2.4308,8.2558,13.99,1,1
H001076,E0095,T01230,Support,Medium,AWS,11,0.0,37,1,8.24,Chennai,Pune,49.4,10,0.7641,4.9,12.8,11.04,63,1,0.9506,90.64,2.2536,7.551,7.97,1,1
H001077,E0098,T03801,Cloud/DevOps,Low,Kubernetes|Docker,6,0.5,39,1,7.52,Chennai,Remote,0.0,1,0.8204,9.9,69.2,24.79,61,1,1.0,45.12,2.5039,3.9394,12.98,0,1
H001078,E0294,T01891,Support,Medium,SQL|Java|Python,9,0.3333,89,1,8.24,Mumbai,Chennai,320.5,23,0.8629,6.3,17.6,6.71,11,1,0.6795,74.16,1.0656,14.127,9.61,0,1
H001079,E0004,T00311,Software Development,Medium,React|Spring Boot,1,0.5,81,1,9.76,Delhi,Chennai,460.1,42,0.8857,3.9,13.0,7.33,19,1,0.5399,9.76,1.8796,20.7692,6.39,1,1
H001080,E0197,T00828,Cloud/DevOps,High,Linux|Python|Kubernetes,12,0.3333,11,1,8.77,Coimbatore,Kolkata,283.7,31,0.9695,4.8,11.2,4.41,89,1,0.7163,105.24,0.9188,2.2917,5.06,0,1
H001081,E0131,T00015,Machine Learning,Critical,Python|TensorFlow|PyTorch,6,0.3333,71,1,8.85,Mumbai,Delhi,337.1,6,0.8039,6.5,8.5,9.02,29,1,0.6629,53.1,1.3874,10.9231,9.14,0,1
H001082,E0148,T00924,Cloud/DevOps,Medium,Python|Linux|Azure,8,0.3333,83,1,9.3,Bangalore,Pune,741.2,36,0.8994,4.0,12.0,7.78,17,1,0.2588,74.4,1.9445,20.75,4.74,1,1
H001083,E0081,T00992,Bug Fix,Medium,C++|Spring Boot|Node.js,8,0.0,52,1,8.77,Kolkata,Remote,0.0,40,0.7929,10.9,45.3,35.43,48,1,1.0,70.16,3.2508,4.7706,17.23,1,1
H001084,E0145,T01529,Machine Learning,Low,SQL|Machine Learning,5,0.0,40,1,7.26,Bangalore,Mumbai,50.1,8,0.5971,13.8,53.2,22.87,60,1,0.9499,36.3,1.6573,2.8986,20.13,0,0
H001085,E0201,T00763,Database,High,Python,12,0.0,53,1,7.31,Kolkata,Bangalore,90.0,37,0.7511,7.8,16.7,18.72,47,1,0.91,87.72,2.4004,6.7949,9.6,1,1
H001086,E0153,T01468,Machine Learning,Medium,TensorFlow|Machine Learning|PyTorch,7,0.0,84,1,8.61,Mumbai,Remote,0.0,42,0.903,7.8,18.2,14.24,16,1,1.0,60.27,1.8251,10.7692,14.25,0,0
H001087,E0127,T02652,Machine Learning,High,Python,11,0.0,82,1,7.87,Pune,Chennai,561.6,41,0.7987,6.3,18.5,15.72,18,1,0.4384,86.57,2.4957,13.0159,10.61,0,0
H001088,E0045,T03978,Database,High,SQL|MongoDB|PostgreSQL,11,0.3333,13,1,7.59,Hyderabad,Chennai,571.6,38,0.9034,3.4,7.8,7.82,87,1,0.4284,83.49,2.2988,3.8235,4.61,1,1
H001089,E0179,T02264,Cloud/DevOps,Low,Azure,3,1.0,70,1,7.77,Chennai,Kolkata,627.2,27,0.635,7.6,36.7,15.15,30,1,0.3728,23.31,1.9928,9.2105,7.95,1,1
H001090,E0155,T04587,Database,High,PostgreSQL|SQL|Java,7,0.6667,45,1,8.38,Mumbai,Pune,42.7,16,0.5957,9.8,25.0,22.04,55,1,0.9573,58.66,2.249,4.5918,10.13,1,1
H001091,E0014,T04482,Database,High,Python,2,0.0,73,1,8.33,Bangalore,Chennai,605.6,12,0.6831,3.5,7.9,6.86,27,1,0.3944,16.66,1.9603,20.8571,6.76,0,0
H001092,E0067,T03058,Machine Learning,Low,TensorFlow,3,0.0,36,0,7.39,Pune,Bangalore,603.5,3,0.7223,6.5,48.4,45.72,64,0,0.3965,22.17,7.0338,5.5385,20.7,1,1
H001093,E0049,T03487,Data Engineering,Medium,SQL|AWS,2,0.0,85,1,7.62,Chennai,Remote,0.0,4,0.7227,5.1,14.5,14.56,15,1,1.0,15.24,2.8546,16.6667,11.58,1,1
H001094,E0010,T00794,Cybersecurity,Critical,Linux,10,1.0,19,1,7.41,Delhi,Pune,831.1,28,0.7844,5.0,7.4,3.36,81,1,0.1689,74.1,0.6726,3.8,4.94,0,1
H001095,E0085,T02536,Machine Learning,Medium,PyTorch|Deep Learning,12,0.0,37,1,8.83,Chennai,Mumbai,397.3,2,0.8447,6.5,23.4,15.6,63,1,0.6027,105.96,2.4006,5.6923,8.7,1,1
H001096,E0283,T03580,Bug Fix,Medium,Java,12,0.0,28,1,8.86,Bangalore,Hyderabad,171.8,3,0.8951,6.6,14.3,13.15,72,1,0.8282,106.32,1.9918,4.2424,10.37,1,1
H001097,E0279,T02824,Support,Critical,AWS|Python,5,0.0,19,1,8.3,Chennai,Kolkata,31.6,25,0.7791,9.6,14.9,9.87,81,1,0.9684,41.5,1.0277,1.9792,16.89,0,1
H001098,E0164,T00498,Machine Learning,High,PyTorch|SQL|TensorFlow,11,0.0,63,1,7.99,Bangalore,Hyderabad,378.4,41,0.7735,5.2,10.2,4.63,37,1,0.6216,87.89,0.8905,12.1154,7.43,0,1
H001099,E0266,T00943,Database,High,PostgreSQL|MongoDB|Python,5,0.0,10,1,6.83,Pune,Remote,0.0,26,0.7519,4.5,6.9,5.97,90,1,1.0,34.15,1.3277,2.2222,7.46,0,1
H001100,E0225,T04500,Database,Medium,MongoDB|Java,7,0.0,77,1,7.95,Mumbai,Bangalore,413.2,2,0.7942,2.8,12.0,7.48,23,1,0.5868,55.65,2.6709,27.5,5.0,1,1
H001101,E0050,T03963,Machine Learning,Medium,TensorFlow,1,1.0,48,1,8.54,Delhi,Chennai,161.3,36,0.6803,4.0,13.4,7.3,52,1,0.8387,8.54,1.826,12.0,3.86,0,0
H001102,E0279,T02440,Data Engineering,High,Python|AWS,5,0.0,11,1,8.3,Chennai,Delhi,527.5,8,0.7747,5.9,15.5,10.6,89,1,0.4725,41.5,1.7969,1.8644,8.84,1,1
H001103,E0061,T00413,Data Engineering,Medium,Azure|PostgreSQL|AWS,6,0.0,40,0,8.01,Hyderabad,Remote,0.0,3,0.6865,11.7,30.5,11.73,60,0,1.0,48.06,1.0027,3.4188,28.97,0,1
H001104,E0005,T01550,Data Engineering,High,SQL|Spark|Python,1,0.3333,11,1,7.52,Coimbatore,Remote,0.0,21,0.6742,6.6,12.1,9.43,89,1,1.0,7.52,1.4294,1.6667,9.54,0,1
H001105,E0187,T00647,Support,Critical,Azure,7,0.0,52,1,8.31,Chennai,Chennai,0.0,16,0.7768,4.8,7.2,6.96,48,1,1.0,58.17,1.4496,10.8333,7.98,0,1
H001106,E0152,T02465,Data Engineering,Medium,Spark|Azure|Python,9,0.0,59,1,8.23,Coimbatore,Remote,0.0,44,0.7366,7.2,31.6,25.3,41,1,1.0,74.07,3.5139,8.1944,11.87,1,1
H001107,E0191,T02294,Bug Fix,Low,SQL|Python,6,0.0,57,1,8.28,Kolkata,Bangalore,800.7,5,0.8231,5.0,35.2,14.36,43,1,0.1993,49.68,2.8715,11.4,6.66,1,1
H001108,E0146,T04782,Machine Learning,Medium,Machine Learning,1,0.0,57,1,8.65,Chennai,Delhi,774.7,11,0.8051,13.3,46.1,47.1,43,1,0.2253,8.65,3.5415,4.2857,20.95,1,1
H001109,E0257,T03761,Bug Fix,High,C++|JavaScript|SQL,11,0.3333,17,0,7.84,Hyderabad,Pune,148.9,38,0.857,5.7,10.6,5.57,83,0,0.8511,86.24,0.9775,2.9825,16.21,0,1
H001110,E0175,T00191,Machine Learning,Medium,PyTorch,8,0.0,90,1,7.78,Mumbai,Bangalore,742.3,28,0.7406,4.2,17.6,13.64,10,1,0.2577,62.24,3.2483,21.4286,7.58,1,1
H001111,E0223,T01616,Cybersecurity,Medium,AWS|Cybersecurity|Azure,6,0.0,76,1,7.38,Chennai,Pune,159.8,42,0.752,3.7,12.0,11.12,24,1,0.8402,44.28,3.0061,20.5405,6.05,1,1
H001112,E0179,T00838,Cybersecurity,Low,Azure|Linux,3,1.0,67,1,7.77,Chennai,Pune,743.0,32,0.715,2.2,24.0,19.75,33,1,0.257,23.31,8.9766,30.4545,2.73,1,1
H001113,E0054,T00685,Data Engineering,High,Python|SQL,9,0.5,34,1,8.39,Hyderabad,Mumbai,332.1,23,0.7465,12.1,20.3,14.02,66,1,0.6679,75.51,1.1589,2.8099,12.46,1,1
H001114,E0099,T01659,Bug Fix,High,JavaScript,2,0.0,68,1,7.81,Coimbatore,Remote,0.0,2,0.7874,5.1,9.5,3.92,32,1,1.0,15.62,0.7694,13.3333,8.99,0,1
H001115,E0235,T02992,Database,Low,Python,7,0.0,77,1,6.54,Mumbai,Coimbatore,293.5,25,0.6056,14.6,93.5,52.52,23,1,0.7065,45.78,3.5972,5.274,24.43,1,1
H001116,E0108,T02787,Data Engineering,Low,SQL,5,0.0,62,1,7.31,Chennai,Remote,0.0,44,0.6769,7.9,48.6,36.62,38,1,1.0,36.55,4.6358,7.8481,14.14,1,1
H001117,E0077,T03020,Data Engineering,Medium,Azure,7,1.0,78,1,7.99,Kolkata,Bangalore,399.5,44,0.8401,11.5,39.9,39.74,22,1,0.6005,55.93,3.4553,6.7826,13.41,1,1
H001118,E0202,T02585,Data Engineering,Low,Python,1,0.0,65,1,7.95,Hyderabad,Pune,277.2,25,0.7354,7.0,34.1,17.74,35,1,0.7228,7.95,2.5336,9.2857,12.35,1,1
H001119,E0230,T00949,Bug Fix,Medium,SQL|C++,10,0.0,38,1,8.72,Coimbatore,Pune,493.4,26,0.8193,7.2,24.6,13.05,62,1,0.5066,87.2,1.8121,5.2778,11.16,1,1
H001120,E0209,T01265,Support,Low,Linux,4,0.0,36,1,8.54,Hyderabad,Delhi,186.7,38,0.7922,5.0,24.0,26.02,64,1,0.8133,34.16,5.2031,7.2,7.75,1,1
H001121,E0096,T04316,Database,High,PostgreSQL|Java,6,0.5,68,1,6.92,Hyderabad,Delhi,516.7,18,0.6386,3.7,6.0,2.43,32,1,0.4833,41.52,0.6573,18.3784,5.48,0,1
H001122,E0127,T03398,Software Development,High,React,11,0.0,61,1,7.87,Pune,Chennai,116.1,30,0.8596,6.6,12.2,13.53,39,1,0.8839,86.57,2.0499,9.2424,11.31,1,1
H001123,E0024,T03013,Testing,High,JavaScript|Python|SQL,9,0.0,90,1,8.24,Chennai,Pune,848.4,2,0.8745,8.7,14.8,15.12,10,1,0.1516,74.16,1.738,10.3448,15.96,0,1
H001124,E0186,T02535,Machine Learning,Low,SQL,11,0.0,35,1,8.4,Hyderabad,Remote,0.0,34,0.99,8.2,58.7,50.02,65,1,1.0,92.4,6.1001,4.2683,11.93,1,1
H001125,E0262,T02554,Data Engineering,Medium,AWS|PostgreSQL,3,0.0,45,1,9.29,Chennai,Chennai,0.0,31,0.6924,7.9,22.0,19.47,55,1,1.0,27.87,2.464,5.6962,11.71,1,1
H001126,E0220,T00211,Bug Fix,High,JavaScript|C++,6,0.0,24,1,8.61,Hyderabad,Coimbatore,747.5,12,0.9202,7.3,19.0,16.7,76,1,0.2525,51.66,2.2878,3.2877,12.01,1,1
H001127,E0208,T01464,Bug Fix,Medium,Node.js|SQL,8,1.0,50,1,8.86,Hyderabad,Mumbai,780.0,40,0.8965,8.5,17.4,11.8,50,1,0.22,70.88,1.3881,5.8824,7.85,1,1
H001128,E0235,T01898,Data Engineering,Medium,PostgreSQL|SQL,7,0.5,54,0,6.54,Mumbai,Remote,0.0,24,0.7637,5.1,17.2,18.58,46,0,1.0,45.78,3.6435,10.5882,10.84,1,1
H001129,E0254,T01337,Software Development,Low,Spring Boot,1,0.0,56,1,9.12,Bangalore,Mumbai,182.1,23,0.7497,4.1,28.3,31.24,44,1,0.8179,9.12,7.6206,13.6585,6.82,1,1
H001130,E0241,T00969,Data Engineering,Medium,PostgreSQL|Azure|SQL,2,0.6667,31,1,8.0,Bangalore,Bangalore,0.0,10,0.6574,5.2,25.2,12.0,69,1,1.0,16.0,2.3079,5.9615,5.66,1,1
H001131,E0066,T01604,Machine Learning,Low,Deep Learning|TensorFlow|SQL,12,0.0,97,1,7.52,Pune,Remote,0.0,37,0.7807,7.2,29.7,18.46,3,1,1.0,90.24,2.5636,13.4722,12.56,1,1
H001132,E0045,T03731,Cybersecurity,Low,AWS|Python|Cybersecurity,11,0.0,30,1,7.59,Hyderabad,Remote,0.0,45,0.7091,3.5,24.0,25.84,70,1,1.0,83.49,7.3832,8.5714,4.89,1,1
H001133,E0038,T00212,Database,High,MongoDB|SQL|Java,5,0.0,32,1,9.52,Delhi,Chennai,783.9,41,0.7383,6.7,15.6,17.49,68,1,0.2161,47.6,2.6101,4.7761,8.94,1,1
H001134,E0252,T00103,Machine Learning,Critical,Deep Learning|TensorFlow|PyTorch,4,0.0,51,1,8.18,Bangalore,Pune,641.4,22,0.7722,6.8,12.1,8.05,49,1,0.3586,32.72,1.1833,7.5,10.44,0,1
H001135,E0175,T01584,Bug Fix,Medium,SQL,8,0.0,85,1,7.78,Mumbai,Delhi,834.9,42,0.8966,5.5,23.9,10.02,15,1,0.1651,62.24,1.8222,15.4545,9.31,1,1
H001136,E0204,T04659,Support,Medium,AWS|Python|Java,5,0.3333,34,1,7.53,Mumbai,Coimbatore,275.3,39,0.7628,13.5,37.1,29.24,66,1,0.7247,37.65,2.1656,2.5185,19.09,1,1
H001137,E0033,T00352,Database,High,PostgreSQL|MongoDB,1,0.0,18,1,8.7,Bangalore,Remote,0.0,34,0.7801,5.9,14.8,15.54,82,1,1.0,8.7,2.6333,3.0508,9.89,1,1
H001138,E0015,T02119,Software Development,High,Node.js|Spring Boot,12,0.5,60,1,7.76,Kolkata,Pune,658.9,6,0.7546,6.9,10.6,11.61,40,1,0.3411,93.12,1.6828,8.6957,7.22,1,1
H001139,E0051,T01649,Cloud/DevOps,High,Docker|Linux|AWS,7,0.0,63,1,7.46,Kolkata,Remote,0.0,12,0.7283,7.5,17.4,8.79,37,1,1.0,52.22,1.1717,8.4,13.52,0,1
H001140,E0007,T02382,Cybersecurity,High,AWS|Python,11,0.0,66,1,8.0,Hyderabad,Mumbai,36.5,35,0.9022,7.8,17.8,19.3,34,1,0.9635,88.0,2.4745,8.4615,11.18,1,1
H001141,E0299,T04283,Software Development,Medium,C++|Java|JavaScript,3,0.6667,56,1,7.95,Chennai,Pune,319.0,45,0.8344,3.5,15.9,16.37,44,1,0.681,23.85,4.6777,16.0,3.91,1,1
H001142,E0236,T00546,Software Development,Medium,Python,10,0.0,68,1,7.84,Delhi,Delhi,0.0,38,0.8251,11.3,34.0,28.18,32,1,1.0,78.4,2.4934,6.0177,15.47,1,1
H001143,E0145,T02156,Data Engineering,Medium,AWS|PostgreSQL|Spark,5,0.6667,40,1,7.26,Bangalore,Bangalore,0.0,34,0.824,5.0,22.9,19.33,60,1,1.0,36.3,3.8659,8.0,5.61,1,1
H001144,E0104,T00510,Data Engineering,High,AWS|Python|PostgreSQL,2,0.3333,88,0,8.49,Hyderabad,Hyderabad,0.0,38,0.6755,6.5,10.4,6.32,12,0,1.0,16.98,0.9727,13.5385,23.38,0,0
H001145,E0228,T04241,Cybersecurity,High,Azure|Python|Cybersecurity,2,0.0,40,1,8.4,Delhi,Kolkata,325.2,40,0.7043,9.6,15.8,8.24,60,1,0.6748,16.8,0.8582,4.1667,15.01,0,1
H001146,E0043,T03369,Database,Critical,MongoDB|PostgreSQL|SQL,11,0.0,56,1,8.98,Hyderabad,Pune,532.4,27,0.9164,7.0,9.1,4.85,44,1,0.4676,98.78,0.6927,8.0,8.52,0,1
H001147,E0101,T01628,Database,Low,MongoDB|Python,6,0.0,86,0,7.61,Bangalore,Pune,712.7,25,0.7129,10.4,76.0,61.32,14,0,0.2873,45.66,5.8965,8.2692,36.96,0,0
H001148,E0031,T00938,Support,Medium,SQL|AWS,8,0.0,7,1,8.19,Delhi,Remote,0.0,45,0.8036,2.9,12.7,6.91,93,1,1.0,65.52,2.3821,2.4138,3.68,0,0
